marketplace_id,marketplace_code,gap_type,gap_reason,ownership_bucket,amazon_order_id,purchase_date,fulfillment_channel,sample_sku,sample_asin,missing_lines,finance_rows,order_fee_rows,fba_charge_rows,referral_charge_rows,fee_rows_without_sku,charge_types
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,028-0155347-1501116,2026-03-04,MFN,MAG_5906638327982,B0FLJ5F9HY,1,6,1,0,1,0,Commission|Principal|ShippingCharge|ShippingHB|ShippingTax|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-0277005-3787535,2026-02-10,AFN,FBA_5903699450369,B0BN483WXN,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-0336717-3815516,2026-03-01,AFN,FBA_5906638367285,B0FTLWGSJ5,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,028-0528528-0430761,2026-03-04,MFN,MAG_5906638309742,B0F2MJVTPR,1,3,1,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,028-0587917-7626763,2026-03-04,MFN,MAG_5906638301319,B0D4MDF8P8,1,2,1,0,1,0,Commission|Principal
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-0664024-0260308,2026-02-10,AFN,FBA_5906638364376,B0FQNYD8PQ,1,2,0,0,1,0,Commission|Principal
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,internal_fixable,028-0799529-7437168,2026-03-03,AFN,FBA_5903699435267,B0B398TPKY,1,4,1,1,1,0,Commission|FBAPerUnitFulfillmentFee|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-1314918-8690745,2026-03-02,AFN,FBA_5906638365571,B0GLFSR1SJ,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,028-1416811-0417145,2026-03-04,MFN,MAG_5903699480397,B0CBK4XJ6S,1,6,1,0,1,0,Commission|Principal|ShippingCharge|ShippingHB|ShippingTax|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,028-2933940-1854758,2026-03-04,MFN,MAG_5903699430514,B0BB7ZDGH2,1,3,1,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,028-3079231-8886753,2026-03-04,MFN,MAG_5903699492925,B0CP5YLQLH,1,3,1,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-3157858-7876333,2026-02-04,AFN,FBA_5906638361269,B0FPX4T6LS,1,8,0,0,2,0,FBADisposalFee|Commission|Commission|Principal|Principal|RefundCommission|Tax|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-3193765-3487521,2026-03-02,AFN,FBA_5906638380024,B0GLFN1CVG,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,028-3933837-8372353,2026-03-04,MFN,MAG_5903699457177,B0BNBD18VC,1,2,1,0,1,0,Commission|Principal
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,internal_fixable,028-4079059-4877918,2026-03-04,AFN,FBA_5903699437643,B0BC22YC2V,1,4,1,1,1,0,Commission|FBAPerUnitFulfillmentFee|Principal|Tax
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,internal_fixable,028-4357504-9576313,2026-03-03,AFN,FBA_5903699449004,B0BMG9K4XL,1,7,2,2,1,0,Commission|FBAPerUnitFulfillmentFee|FBAPerUnitFulfillmentFee|Principal|Principal|Tax|Tax
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,internal_fixable,028-4502610-6113949,2026-03-04,AFN,FBA_5903699482933,B0CF532MR7,1,4,1,1,1,0,Commission|FBAPerUnitFulfillmentFee|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-4712695-6540350,2026-03-01,AFN,FBA_5906638317464,B0FP4XY152,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-4747074-7548341,2026-02-06,AFN,FBA_5903699450550,B0BN4B317V,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,028-5099950-8237148,2026-03-04,MFN,MAG_5903699477601,B0CDPMYY28,1,3,1,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,internal_fixable,028-5104397-0891564,2026-03-04,AFN,FBA_5903699434864,B0B2S7H1F6,1,3,1,1,1,0,Commission|FBAPerUnitFulfillmentFee|Principal
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-5118284-5410754,2026-02-13,AFN,FBA_5906638360835,B0FPR69LG8,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-5298544-5205907,2026-03-01,AFN,FBA_5906638365519,B0GLG6HV99,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,028-5487316-1159538,2026-03-04,MFN,MAG_5903699473627,B0C1S5R4H8,1,3,1,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-5586893-3350710,2026-02-11,AFN,FBA_5906638361252,B0FPWSVGZM,1,7,0,0,2,0,Commission|Commission|Principal|Principal|RefundCommission|Tax|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-5632939-3617166,2026-03-01,AFN,FBA_5903699459522,B0BT221DZN,2,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,internal_fixable,028-5822903-3690742,2026-03-03,AFN,FBA_5903699456019,B0BSQYTSX1,1,4,1,1,1,0,Commission|FBAPerUnitFulfillmentFee|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-5877085-7029156,2026-03-02,AFN,FBA_5906638370261,B0G7D1XY32,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-5945422-1944355,2026-03-03,AFN,FBA_5906638367322,B0FTM8GDS3,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,internal_fixable,028-6066711-9622722,2026-03-03,AFN,FBA_5903699429389,B09X1QW1N1,1,4,1,1,1,0,Commission|FBAPerUnitFulfillmentFee|Principal|Tax
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,internal_fixable,028-6400101-6221938,2026-03-03,AFN,FBA_5903699437681,B0BC215HXN,1,4,1,1,1,0,Commission|FBAPerUnitFulfillmentFee|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-6680281-6889932,2026-02-11,AFN,FBA_5903699450376,B0BN49HY49,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,internal_fixable,028-6797959-5296302,2026-03-03,AFN,FBA_5903699434864,B0B2S7H1F6,1,6,1,1,1,0,Commission|FBAPerUnitFulfillmentFee|Principal|ShippingCharge|ShippingTax|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-6833425-0026738,2026-03-01,AFN,FBA_5906638365519,B0GLG6HV99,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-7037740-0185923,2026-03-01,AFN,FBA_5906638367315,B0FTLZKXCJ,2,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,internal_fixable,028-7274681-2733163,2026-03-04,AFN,amzn.gr.MAG_5902730382072-SyXm4vOtJfn-VG,B07YC4RQ9N,1,4,1,1,1,0,Commission|FBAPerUnitFulfillmentFee|Principal|Tax
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,internal_fixable,028-7429645-8189961,2026-03-02,AFN,FBA_5903699483367,B0CPPSF2HD,1,4,1,1,1,0,Commission|FBAPerUnitFulfillmentFee|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-7529110-8696366,2026-02-03,AFN,FBA_5906638330197,B0FHPVWWBS,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,internal_fixable,028-7537739-8648330,2026-03-04,AFN,FBA_5903699439012,B0BCJSW6ZB,2,8,2,2,2,0,Commission|FBAPerUnitFulfillmentFee|Principal|Tax|Commission|FBAPerUnitFulfillmentFee|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-7651725-5828314,2026-02-17,AFN,FBA_5906638320952,B0FJL9T4KT,1,7,0,0,2,0,Commission|Commission|Principal|Principal|RefundCommission|Tax|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,028-8343729-0409108,2026-03-04,MFN,MAG_5903699424353,B097GWGJX8,1,3,1,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,internal_fixable,028-8385713-1423560,2026-03-03,AFN,FBA_5903699424667,B097RQPWNK,1,4,1,1,1,0,Commission|FBAPerUnitFulfillmentFee|Principal|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,028-8429625-2323543,2026-03-04,MFN,MAG_5903699402368,B0882MCF67,1,3,1,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-8460106-6850768,2026-03-02,AFN,FBA_5906638367322,B0FTM8GDS3,1,2,0,0,1,0,Commission|Principal
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-8627405-0001928,2026-03-02,AFN,FBA_5906638367292,B0FTLYRX6T,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,028-8704691-8720363,2026-03-04,MFN,MAG_5903699422298,B0989ZNMNC,1,3,1,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,028-9004350-4041942,2026-02-22,AFN,FBA_5906638342596,B0FLPX9DTW,1,3,0,0,1,0,Commission|Principal|Tax
