=== GRUPA 1: Brak internal_sku (mają product_id, brak mapowania do ERP) ===
seller_sku;asin;title;marketplace_id;brand;category;k_number;order_lines;total_revenue;currency;first_order;last_order
FBA_5906638360569;B0FN431JQT;KADAX tomma glasflaskor 250 ml, 6 stycken, snapsflaskor med kork, små flaskor för att fylla likör, vin och snaps, likörflaskor, vinflaskor;A1PA6795UKMFR9;;;K9347;184;3016.72;EUR;2025-12-05 06:11:33+00:00;2026-02-23 19:22:34+00:00
amzn.gr.MAG_5906638360576-yyzh5T8bMa_-LN;B0FN3Y1NJL;KADAX tomma glasflaskor 250 ml, 12 stycken, snapsflaskor med kork, små flaskor för att fylla likör, vin och snaps, likörflaskor, vinflaskor;A1PA6795UKMFR9;;;K9348;174;4537.47;EUR;2025-12-05 07:05:08+00:00;2026-03-01 16:58:53+00:00
MAG_3253924839509;B0B58Z1QPX;Curver Trio V2 Abfalleimer 40L Treteimer Müllsortierung 3 Fächer Mülltrennsystem Abfalltrennsystem 3-Fach Inneneimer aus Kunststoff;A1PA6795UKMFR9;;;;119;6467.83;EUR;2024-03-01 09:30:02+00:00;2026-03-02 19:15:50+00:00
MAG_5906638360712;B0FN7BW9W2;KADAX Lot de 8 bouteilles en verre vides de 500 ml avec bouchons - Bouteilles pour liqueur, vin et alcool - Bouteilles en verre pour liqueur, vin et alcool;A1PA6795UKMFR9;;;K9352;98;2178.21;EUR;2025-12-05 18:36:54+00:00;2026-02-27 07:29:24+00:00
FBA_5906638360583;B0FN4128NZ;KADAX Lot de 2 bouteilles en verre vides de 500 ml avec bouchons, idéales pour le remplissage de liqueur, de vin et d'alcool, bouteilles de vin;A1PA6795UKMFR9;;;K9350;44;468.05;EUR;2025-12-05 12:56:01+00:00;2026-02-18 05:13:49+00:00
amzn.gr.MAG_5906638360552-sp8s837Da2y-LN;B0FN4148QG;KADAX Lot de 2 bouteilles en verre vides 250 ml, bouteilles de schnaps avec bouchon, petites bouteilles à remplir de liqueur, de vin et de schnaps, bouteilles de liqueur, bouteilles de vin;A1PA6795UKMFR9;;;K9346;33;301.60;EUR;2025-12-05 12:57:31+00:00;2026-02-16 08:41:11+00:00
amzn.gr.MAG_5906638360590-HyczxPJK92F-LN;B0FN43BM2P;KADAX Leere Glasflaschen 500ml, 6 Stück, Schnapsflaschen mit Korken, Flaschen zum Befüllen von Likör, Wein und Schnaps, Likörflaschen aus Glas, Weinflaschen;A1PA6795UKMFR9;;;K9351;27;454.17;EUR;2025-12-05 18:34:42+00:00;2026-02-28 17:51:30+00:00
MAG_5906638360620;B0FN41D1Z9;KADAX Leere Glasflaschen 500ml, 6 Stück, Weinflaschen mit Korken, Flaschen zum Befüllen von Likör, Wein, Schnaps, Öl & Essig, Likörflaschen, Schnapsflaschen;A1PA6795UKMFR9;;;K9359;25;399.09;EUR;2025-12-07 17:31:16+00:00;2026-02-24 10:55:47+00:00
MAG_5903699499375;B0D1745STY;KADAX Set di 3 vasi alti per piante, Grafite Rattan, H 36,5/46,5/57 cm - fioriera da giardino, vaso decorativo per interno;A1PA6795UKMFR9;;;;23;1306.55;EUR;2025-12-14 09:42:53+00:00;2026-03-02 17:18:00+00:00
MAG_5906638375129;B0G533M5N2;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Gold - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;;22;341.05;EUR;2025-12-07 17:03:54+00:00;2026-02-23 18:34:53+00:00
MAG_5903699467985;B0BSFLVQHT;KADAX Lot de 24 Pièces 51x4cm Pic Anti-Pigeon et Anti-Oiseaux, Dissuasif en Plastique pour Balcon, Terrasse et Espaces Extérieurs, Argent;A1PA6795UKMFR9;;;;20;617.49;EUR;2025-12-13 11:54:13+00:00;2026-02-28 15:16:56+00:00
MAG_5906638375426;B0G5874YZF;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Herz - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;;19;436.57;EUR;2025-12-07 12:43:00+00:00;2026-02-28 10:06:51+00:00
MAG_5906638374474;B0G52XK5YH;KADAX 10er Set Mini Marmeladengläser 40 ml mit Schraubdeckel in Gold - Probiergläser & Vorratsgläser für Honig, Konfitüren, Gewürze, Gastgeschenke & mehr;A1PA6795UKMFR9;;;;18;292.40;EUR;2025-12-06 19:19:44+00:00;2026-03-02 09:26:18+00:00
MAG_5906638374191;B0G522YP63;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Herz - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;17;254.94;EUR;2025-12-08 10:11:24+00:00;2026-01-11 11:16:10+00:00
MAG_5903699467947;B0BSFMBRBR;KADAX Lot de 24 Pièces 51x4cm Pic Anti-Pigeon et Anti-Oiseaux, Dissuasif en Plastique pour Balcon, Terrasse et Espaces Extérieurs, Blanc;A1PA6795UKMFR9;;;;17;495.15;EUR;2025-12-05 01:29:37+00:00;2026-03-01 13:10:36+00:00
MAG_5906638374177;B0G52323R6;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Schwarz - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;15;270.50;EUR;2025-12-05 07:17:56+00:00;2026-01-20 12:04:43+00:00
MAG_5906638374184;B0G522S5BF;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Gold - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;15;239.38;EUR;2025-12-07 18:36:07+00:00;2025-12-26 11:48:24+00:00
MAG_3253924831640;B00O4BB2CQ;Curver Tier-Futter-Container 20kg, 54L Metallicfarben, schwarz/Silber, 49,3 x 27,8 x 60,5 cm, große luftdichte Aufbewahrung gegen Gerüche für Hundefutter - Behälter mit Rollen;APJ6JRA9NG5V4;;;;13;683.40;EUR;2026-01-14 11:52:43+00:00;2026-03-02 19:28:50+00:00
FBA_5906638360569;B0FN431JQT;KADAX tomma glasflaskor 250 ml, 6 stycken, snapsflaskor med kork, små flaskor för att fylla likör, vin och snaps, likörflaskor, vinflaskor;APJ6JRA9NG5V4;;;K9347;10;134.57;EUR;2025-12-23 15:04:32+00:00;2026-03-01 13:46:58+00:00
MAG_5906638360613;B0FN42BP8J;KADAX Leere Glasflaschen 500ml, 2 Stück, Weinflaschen mit Korken, Flaschen zum Befüllen von Likör, Wein, Schnaps, Öl & Essig, Likörflaschen, Schnapsflaschen;A1PA6795UKMFR9;;;K9358;10;99.58;EUR;2025-12-11 15:58:03+00:00;2026-02-13 21:11:34+00:00
MAG_5903699467978;B0BSFMR5M9;KADAX Vogelabwehr aus Kunststoff, 51 x 4 x 3,5 cm, Tierabwehr, 3-reihig, Spikes für Katze, Marder, Taube, Zaun, Fensterbank, Dach, Taubenabwehr, Vogelschutz, robust (48, Braun);A1PA6795UKMFR9;;;;10;618.27;EUR;2024-03-01 10:51:28+00:00;2026-03-02 20:33:13+00:00
MAG_3253921869004;B06ZZ3TV2C;Keter Connect Cantilever Werkzeugkasten, 56,5x31,7x25,1 Cm, Transparenter Bruchsicherer Deckel, Herausnehmbare Boxen, Stapelbar (Connect System);A1PA6795UKMFR9;;;;10;594.97;EUR;2025-12-09 12:11:59+00:00;2026-02-28 12:40:29+00:00
64-9420-AFD2;B01EM4UJW8;KADAX schwarze Stretchfolie, 300x50cm Plastikfolie, 3kg Umzugsfolie, Palettenfolie für Möbel, Lager, Transport, widerstandsfähige Wickelfolie, Verpackungsfolie;A1PA6795UKMFR9;;;;10;589.20;EUR;2025-12-10 07:08:09+00:00;2026-02-28 19:23:03+00:00
MAG_5903699467961;B0BSFMZ9HK;KADAX Vogelabwehr aus Kunststoff, 51 x 4 x 3,5 cm, Tierabwehr, 3-reihig, Spikes für Katze, Marder, Taube, Zaun, Fensterbank, Dach, Taubenabwehr, Vogelschutz, robust (24, Braun);A1PA6795UKMFR9;;;;9;287.86;EUR;2024-03-01 12:50:56+00:00;2026-03-01 10:23:44+00:00
MAG_5906638369180;B0FWKN21RG;KADAX Bodenabzieher, Wasserabzieher mit langem Stiel aus robustem Metall, Abzieher mit Kopf aus Schaum und metallenen Teilen, Wasserschieber für Garage, Waschraum, Terrasse (Breite: 55 cm);A1PA6795UKMFR9;;;;9;146.75;EUR;2025-12-09 11:48:19+00:00;2026-02-14 18:27:54+00:00
MAG_5906638360637;B0FN43NM66;KADAX Leere Glasflaschen 500ml, 8 Stück, Weinflaschen mit Korken, Flaschen zum Befüllen von Likör, Wein, Schnaps, Öl & Essig, Likörflaschen, Schnapsflaschen;A1PA6795UKMFR9;;;K9360;8;156.76;EUR;2025-12-06 18:32:07+00:00;2026-02-22 19:26:47+00:00
MAG_5906638374290;B0G524YW2X;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Blaue Herzen - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;8;127.08;EUR;2025-12-07 10:33:55+00:00;2025-12-14 07:15:53+00:00
MAG_3253924831640;B00O4BB2CQ;Curver Tier-Futter-Container 20kg, 54L Metallicfarben, schwarz/Silber, 49,3 x 27,8 x 60,5 cm, große luftdichte Aufbewahrung gegen Gerüche für Hundefutter - Behälter mit Rollen;A1PA6795UKMFR9;;;;8;385.26;EUR;2025-12-05 16:45:48+00:00;2025-12-28 19:14:06+00:00
amzn.gr.MAG_5906638360590-HyczxPJK92F-LN;B0FN43BM2P;KADAX Leere Glasflaschen 500ml, 6 Stück, Schnapsflaschen mit Korken, Flaschen zum Befüllen von Likör, Wein und Schnaps, Likörflaschen aus Glas, Weinflaschen;APJ6JRA9NG5V4;;;K9351;8;197.55;EUR;2025-12-25 12:40:29+00:00;2026-02-27 22:31:45+00:00
MAG_3253921869004;B06ZZ3TV2C;Keter Connect Cantilever Werkzeugkasten, 56,5x31,7x25,1 Cm, Transparenter Bruchsicherer Deckel, Herausnehmbare Boxen, Stapelbar (Connect System);APJ6JRA9NG5V4;;;;8;427.84;EUR;2025-12-22 23:43:48+00:00;2026-02-14 11:12:46+00:00
MAG_5903699499382;B0D16XG84F;KADAX Set di 3 vasi alti per piante, Grafite Rattan, H 46,5/57,5/68 cm - vasi da esterno eleganti, vaso per piante grandi;A1PA6795UKMFR9;;;;7;558.37;EUR;2025-12-21 15:14:38+00:00;2026-02-27 08:36:34+00:00
MAG_5903699400586;B08775F3LH;KADAX Pot de fleurs avec soucoupe - Diamètre : 14 cm - Gris - Pour l'intérieur et l'extérieur - Idéal pour le salon, le balcon, la salle de bain ou les WC - Les couleurs vives apportent de la;A1PA6795UKMFR9;;;;7;68.99;EUR;2026-01-07 09:24:28+00:00;2026-02-19 17:21:31+00:00
MAG_5906638374467;B0G52PW7FT;KADAX 10er Set Mini Marmeladengläser 40 ml mit Schraubdeckel in Schwarz - Probiergläser & Vorratsgläser für Honig, Konfitüren, Gewürze, Gastgeschenke & mehr;A1PA6795UKMFR9;;;;7;111.49;EUR;2025-12-07 10:45:28+00:00;2026-02-01 17:22:11+00:00
