order_id,tracking,buyer_country,bl_package,bl_tracking_status_date,dhl_file_delivery_date,bl_delivery_package_module,bl_delivery_package_nr,bl_package_tracking,bl_courier_code,bl_courier_other_name,dhl_source_file,dhl_last_event,dhl_last_event_at,amazon_ship_option,amazon_carrier_name,amazon_delivery_scan_attempt,amazon_any_physical_scan,order_status,fulfillment_channel,purchase_date,notes
306-4542930-3328346,JJD000030206530000003168956,AT,Yes,,2026-02-09 10:31:00,blconnectpackages,JJD000030206530000003168956,JJD000030206530000003168956,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-09 10:31:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-02-04 07:57:30,
305-8622664-9933125,JJD000030206530000003138330,AT,No,,2026-01-31 10:41:00,,,,,,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-31 10:41:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-28 08:38:15,BL has no package
306-9735999-8947557,JJD000030206530000003108387,AT,Yes,,,blconnectpackages,JJD000030206530000003108387,JJD000030206530000003108387,blconnectpackages,dhl,,,,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-01-20 15:11:21,
305-1088625-0558701,JJD000030206530000003141957,AT,Yes,,2026-02-03 12:41:00,blconnectpackages,JJD000030206530000003141957,JJD000030206530000003141957,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-02-03 12:41:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-29 07:25:22,
305-8840849-0948300,JJD000030206530000003180843,DE,No,,,,,,,,,,,Std DE Dom_1,DHL,Yes,Yes,Shipped,MFN,2026-02-07 11:20:17,BL has no package
306-6888587-8012367,JJD000030206530000003203603,DE,Yes,,,blconnectpackages,JJD000030206530000003203603,JJD000030206530000003203603,blconnectpackages,dhl,,,,Pri Dom,DHL,Yes,Yes,Shipped,MFN,2026-02-13 05:23:49,
302-2151612-7705137,JJD000030206530000003127495,AT,Yes,2026-01-25 20:46:06,2026-01-29 13:06:00,blconnectpackages,JJD000030206530000003127495,JJD000030206530000003127495,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 13:06:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-25 19:01:35,
304-6187533-0299553,JJD000030206530000003166909,AT,Yes,,2026-02-07 11:23:00,blconnectpackages,JJD000030206530000003166909,JJD000030206530000003166909,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-07 11:23:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-02-03 17:04:52,
302-5646822-9052334,JJD000030206530000003163951,AT,No,,2026-02-06 09:52:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-06 09:52:00,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-02-02 19:06:39,BL has no package
303-7184975-6322718,JJD000030206530000003144501,AT,No,,2026-02-03 15:17:00,,,,,,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-02-03 15:17:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-29 17:33:22,BL has no package
028-2931446-4268301,JJD000030206530000003126281,AT,Yes,2026-01-25 16:36:02,2026-01-29 14:18:00,blconnectpackages,JJD000030206530000003126281,JJD000030206530000003126281,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 14:18:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-25 14:42:39,
304-3422655-4260320,JJD000030206530000003168647,AT,Yes,,2026-02-07 13:03:00,blconnectpackages,JJD000030206530000003168647,JJD000030206530000003168647,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-07 13:03:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-02-04 06:31:43,
303-2383690-3541956,JJD000030206530000003139768,AT,No,,2026-02-02 11:30:00,,,,,,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-02-02 11:30:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-28 13:42:08,BL has no package
302-0743839-9776362,JJD000030206530000003140721,AT,No,,2026-02-03 08:21:00,,,,,,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-02-03 08:21:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-28 17:18:20,BL has no package
