"order_id","tracking","buyer_country","amazon_ship_option","amazon_carrier_name","bl_package","bl_tracking_status_date","dhl_file_delivery_date","dhl_last_event","dhl_source_file","notes"
"305-8622664-9933125","JJD000030206530000003138330","AT","Pri Intl","DHL","No","","2026-01-31 10:41:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"302-5646822-9052334","JJD000030206530000003163951","AT","Std DE Intl_1","DHL","No","","2026-02-06 09:52:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-7184975-6322718","JJD000030206530000003144501","AT","Pri Intl","DHL","No","","2026-02-03 15:17:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"303-2383690-3541956","JJD000030206530000003139768","AT","Pri Intl","DHL","No","","2026-02-02 11:30:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"302-0743839-9776362","JJD000030206530000003140721","AT","Pri Intl","DHL","No","","2026-02-03 08:21:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"302-4347911-0070716","JJD000030206530000003157533","AT","Pri Intl","DHL eCommerce","No","","2026-02-05 08:48:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"302-6768266-9456341","JJD000030206530000003150198","AT","Pri Intl","DHL","No","","2026-02-04 14:15:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"302-9553848-2400361","JJD000030206530000003146092","AT","Pri Intl","DHL","No","","2026-02-04 11:20:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-2219834-8085921","JJD000030206530000003150812","AT","Pri Intl","DHL","No","","2026-02-05 11:55:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"302-9019932-6093930","JJD000030206530000003152689","AT","Std DE Intl_1","DHL","No","","2026-02-05 15:43:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"305-2069121-7973102","JJD000030206530000003154181","AT","Std DE Intl_1","DHL","No","","2026-02-05 10:57:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"302-6732775-5348327","JJD000030206530000003167180","AT","Pri Intl","DHL","No","","2026-02-09 09:50:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"302-9618758-9463508","JJD000030206530000003146963","AT","Pri Intl","DHL","No","","2026-02-03 18:00:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"303-5538397-5281122","JJD000030206530000003171315","AT","Std DE Intl_1","DHL eCommerce","No","","2026-02-07 10:45:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"306-0081362-5011522","JJD000030206530000003150367","AT","Pri Intl","DHL","No","","2026-02-04 12:08:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-7758489-2107511","JJD000030206530000003144152","AT","Pri Intl","DHL","No","","2026-02-03 16:08:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"305-3436364-6235513","JJD000030206530000003154192","AT","Std DE Intl_1","DHL","No","","2026-02-05 12:16:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"305-4013842-3750737","JJD000030206530000003158938","AT","Std DE Intl_1","DHL","No","","2026-02-05 11:38:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"306-8715549-6973145","JJD000030206530000003091978","AT","Std DE Intl_1","DHL","No","","2026-01-20 11:19:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_18.01.2026 31.01.xlsx","BL has no package"
"302-1026375-0245113","JJD000030206530000003144865","AT","Pri Intl","DHL","No","","2026-02-10 15:15:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"302-7029155-1441103","JJD000030206530000003153786","AT","Std DE Intl_1","DHL","No","","2026-02-05 12:28:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"306-7338738-6316312","JJD000030206530000003149668","AT","Pri Intl","DHL","No","","2026-02-04 12:12:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"028-9066172-1849915","JJD000030206530000003161606","AT","Pri Intl","DHL","No","","2026-02-06 07:29:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"302-9042464-3013911","JJD000030206530000003152678","AT","Std DE Intl_1","DHL","No","","2026-02-06 11:11:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-4360701-6757130","JJD000030206530000003171499","AT","Std DE Intl_1","DHL eCommerce","No","","2026-02-10 10:14:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"306-5094181-7205119","JJD000030206530000003146632","AT","Pri Intl","DHL","No","","2026-02-03 11:02:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"304-7990064-5009937","JJD000030206530000003133004","AT","Pri Intl","DHL","No","","2026-01-30 07:41:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"304-8627464-9473153","JJD000030206530000003157522","AT","Std DE Intl_1","DHL","No","","2026-02-05 12:43:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"305-5209565-6151547","JJD000030206530000003161886","AT","Pri Intl","DHL","No","","2026-02-09 12:53:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"305-0030046-5306777","JJD000030206530000003135848","AT","Pri Intl","DHL","No","","2026-01-30 13:36:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"028-0645204-7891519","JJD000030206530000003142021","AT","Pri Intl","DHL","No","","2026-02-03 08:54:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"305-8784588-3453950","JJD000030206530000003091732","AT","Std DE Intl_1","DHL","No","","2026-01-20 12:19:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_18.01.2026 31.01.xlsx","BL has no package"
"304-7866468-1356354","JJD000030206530000003150345","AT","Pri Intl","DHL","No","","2026-02-04 13:32:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-4567796-1379557","JJD000030206530000003120623","AT","Pri Intl","DHL","No","","2026-01-29 11:16:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"028-8220219-8625965","JJD000030206530000003136743","AT","Pri Intl","DHL","No","","2026-01-31 11:10:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"306-6870333-9426714","JJD000030206530000003164003","AT","Pri Intl","DHL","No","","2026-02-09 12:25:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"028-4582536-0457105","JJD000030206530000003137413","AT","Pri Intl","DHL","No","","2026-01-31 14:25:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"304-0772749-9564367","JJD000030206530000003134285","AT","Pri Intl","DHL","No","","2026-01-30 10:32:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"028-2262230-4127562","JJD000030206530000003154467","AT","Std DE Intl_1","DHL","No","","2026-02-05 09:12:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"302-3130668-0859530","JJD000030206530000003140850","AT","Pri Intl","DHL","No","","2026-01-31 15:40:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"028-6492308-5173911","JJD000030206530000003159793","AT","Std DE Intl_1","DHL","No","","2026-02-05 11:18:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"302-2049164-8661156","JJD000030206530000003157926","AT","Std DE Intl_1","DHL","No","","2026-02-05 12:52:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"302-3124722-3909902","JJD000030206530000003162405","AT","Pri Intl","DHL","No","","2026-02-06 11:00:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-2684273-6723527","JJD000030206530000003142330","AT","Pri Intl","DHL","No","","2026-02-03 12:59:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"305-5641189-2869163","JJD000030206530000003121624","AT","Pri Intl","DHL","No","","2026-01-29 09:30:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"303-0703397-8437908","JJD000030206530000003134656","AT","Pri Intl","DHL","No","","2026-02-02 10:20:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"305-6893074-8451543","JJD000030206530000003162983","AT","Pri Intl","DHL","No","","2026-02-06 12:24:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
