"order_id","tracking","buyer_country","amazon_ship_option","amazon_carrier_name","bl_package","bl_tracking_status_date","dhl_file_delivery_date","dhl_last_event","dhl_source_file","bl_delivery_package_module","bl_delivery_package_nr","bl_package_tracking","bl_courier_code","bl_courier_other_name","notes"
"306-4542930-3328346","JJD000030206530000003168956","AT","Pri Intl","DHL","Yes","","2026-02-09 10:31:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003168956","JJD000030206530000003168956","blconnectpackages","dhl",""
"305-1088625-0558701","JJD000030206530000003141957","AT","Pri Intl","DHL","Yes","","2026-02-03 12:41:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","blconnectpackages","JJD000030206530000003141957","JJD000030206530000003141957","blconnectpackages","dhl",""
"304-6187533-0299553","JJD000030206530000003166909","AT","Pri Intl","DHL","Yes","","2026-02-07 11:23:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003166909","JJD000030206530000003166909","blconnectpackages","dhl",""
"304-3422655-4260320","JJD000030206530000003168647","AT","Pri Intl","DHL","Yes","","2026-02-07 13:03:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003168647","JJD000030206530000003168647","blconnectpackages","dhl",""
"028-1726369-9293139","JJD000030206530000003158545","AT","Std DE Intl_1","DHL","Yes","","2026-02-05 14:54:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003158545","JJD000030206530000003158545","blconnectpackages","dhl",""
"302-2330032-2226700","JJD000030206530000003166072","AT","Pri Intl","DHL","Yes","","2026-02-06 13:42:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003166072","JJD000030206530000003166072","blconnectpackages","dhl",""
"302-7635342-6088331","JJD000030206530000003153668","AT","Pri Intl","DHL","Yes","","2026-02-04 10:56:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003145939","JJD000030206530000003145939","blconnectpackages","dhl","BL tracking differs from Amazon"
"304-3620092-4729116","JJD000030206530000003152741","AT","Pri Intl","DHL","Yes","","2026-02-04 12:35:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003152741","JJD000030206530000003152741","blconnectpackages","dhl",""
"303-1493331-9398760","JJD000030206530000003165824","AT","Pri Intl","DHL","Yes","","2026-02-07 11:19:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003165824","JJD000030206530000003165824","blconnectpackages","dhl",""
"306-8843959-0731528","JJD000030206530000003141042","AT","Pri Intl","DHL","Yes","","2026-02-03 11:30:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","blconnectpackages","JJD000030206530000003141042","JJD000030206530000003141042","blconnectpackages","dhl",""
